title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Collard Greens,ScHoolboy Q,gangster rap,2014,2020-06-10,154,57,83,-5,21,65,300,3,6,84,2014,Solo
Man Of The Year,ScHoolboy Q,gangster rap,2014,2020-06-10,112,87,75,-5,20,37,216,1,4,76,2014,Solo
Geronimo,Sheppard,australian indie,2015,2020-06-10,142,78,71,-6,12,46,218,46,8,69,2014,Band/Group
Chandelier,Sia,australian dance,2015,2020-06-10,117,79,40,-3,7,57,216,2,5,73,2014,Solo
Elastic Heart,Sia,australian dance,2015,2020-06-10,130,79,42,-5,15,50,257,1,5,68,2014,Solo
Nobody To Love,Sigma,dance pop,2014,2020-06-10,88,91,52,-3,20,23,190,0,4,55,2014,Solo
Style,Taylor Swift,pop,2014,2020-06-10,95,79,59,-6,12,49,231,0,4,66,2014,Solo
Bad Blood,Taylor Swift,pop,2014,2020-06-10,170,79,65,-6,20,29,212,9,19,60,2014,Solo
Shake It Off,Taylor Swift,pop,2014,2020-06-10,160,79,65,-5,15,94,219,6,17,77,2014,Solo
#SELFIE,The Chainsmokers,dance pop,2014,2020-06-10,128,92,79,-3,8,66,184,1,25,69,2014,Duo
Superheroes,The Script,celtic rock,2014,2020-06-10,167,89,49,-4,7,64,245,0,4,79,2014,Band/Group
Wasted,Tiësto,big room,2014,2020-06-10,112,82,64,-6,20,39,190,0,3,68,2014,Solo
Red Lights,Tiësto,big room,2014,2020-06-11,125,83,65,-5,12,55,262,0,4,72,2014,Solo
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,2020-06-10,101,60,74,-8,11,43,227,15,11,77,2014,Solo
Habits (Stay High),Tove Lo,art pop,2014,2020-06-10,110,65,73,-4,8,35,209,7,3,78,2014,Solo
Talking Body,Tove Lo,art pop,2014,2020-06-10,120,76,74,-5,8,11,238,10,3,72,2014,Solo
Na Na,Trey Songz,dance pop,2015,2020-06-10,97,48,67,-6,10,24,232,33,4,68,2014,Solo
Riptide,Vance Joy,folk-pop,2014,2020-06-10,102,73,48,-7,15,51,204,43,4,83,2014,Solo
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2012,2020-06-10,128,74,60,-3,9,46,217,11,4,69,2014,Solo
Faded,ZHU,edm,2014,2020-06-10,125,48,87,-7,11,61,223,1,5,66,2014,Solo
